chr1	566582	568658	10
chr1	754883	755383	4
chr1	766938	767438	6
chr1	777865	778601	13
chr1	839595	840402	21
chr1	842083	842789	12
chr1	846466	846966	8
chr1	856256	856880	16
chr1	858989	859489	6
chr1	860079	860579	7
chr1	871108	871608	4
chr1	875369	876026	7
chr1	878454	878954	6
chr1	913281	913781	10
chr1	915923	916423	11
chr1	919473	919973	9
chr1	937080	937580	25
chr1	938650	939150	14
chr1	940268	941233	47
chr1	956433	956933	21
chr1	968334	968834	16
chr1	975939	976439	7
chr1	993189	994105	31
chr1	994623	995287	31
chr1	997253	998321	29
chr1	999481	999981	42
chr1	1001092	1001592	12
chr1	1003316	1003816	14
chr1	1004394	1004993	27
chr1	1005211	1006060	26
chr1	1014713	1016232	38
chr1	1045097	1045597	52
chr1	1046020	1046520	18
chr1	1057419	1057919	4
chr1	1058530	1059030	2
chr1	1070672	1071172	28
chr1	1091782	1092282	4
chr1	1092715	1093215	43
chr1	1110449	1110949	5
chr1	1120677	1121375	38
chr1	1136177	1137128	23
chr1	1143301	1143801	15
chr1	1144202	1144702	13
chr1	1165954	1166454	25
chr1	1179524	1180024	9
chr1	1185082	1185582	8
chr1	1185694	1186194	13
chr1	1225476	1225976	4
chr1	1226532	1227032	9
chr1	1227149	1227649	16
chr1	1229132	1229632	18
chr1	1239987	1240734	42
chr1	1240881	1241381	45
chr1	1241394	1241894	37
chr1	1244964	1245464	34
chr1	1253568	1254068	33
chr1	1280123	1280840	28
chr1	1283209	1283709	33
chr1	1311636	1312136	41
chr1	1326440	1326940	6
chr1	1333432	1333932	37
chr1	1337294	1337794	33
chr1	1352722	1353222	6
chr1	1358187	1358687	17
chr1	1365004	1365504	12
chr1	1367159	1367659	12
chr1	1368441	1368941	43
chr1	1375960	1376721	33
chr1	1406059	1406739	41
chr1	1406847	1407347	45
chr1	1440219	1440719	29
chr1	1440810	1441310	27
chr1	1471766	1472266	12
chr1	1490184	1490684	12
chr1	1509101	1509601	48
chr1	1511377	1512023	10
chr1	1512853	1513353	7
chr1	1521427	1521927	11
chr1	1532693	1533315	26
chr1	1590255	1590892	54
chr1	1610297	1610797	13
chr1	1611936	1612436	4
chr1	1617524	1618024	14
chr1	1646477	1647151	27
chr1	1659938	1660438	5
chr1	1679965	1680465	19
chr1	1690183	1690683	59
chr1	1707017	1707517	26
chr1	1708864	1709364	26
chr1	1711244	1712254	56
chr1	1713412	1713912	26
chr1	1714334	1714834	18
chr1	1720418	1720918	5
chr1	1778430	1778930	25
chr1	1780108	1780608	6
chr1	1787094	1787594	11
chr1	1790069	1790569	11
chr1	1790576	1791076	8
chr1	1800785	1801285	5
chr1	1808975	1809475	5
chr1	1812446	1812946	10
chr1	1814470	1815302	43
chr1	1828489	1828989	7
chr1	1837561	1838061	35
chr1	1840178	1841036	43
chr1	1875348	1876034	13
chr1	1886213	1886713	3
chr1	1891132	1891916	14
chr1	1920445	1920945	7
chr1	1927452	1927952	12
chr1	2014905	2015405	2
chr1	2022997	2023497	4
chr1	2039977	2040477	7
chr1	2063542	2064042	14
chr1	2064542	2065299	40
chr1	2071135	2071635	4
chr1	2082606	2083106	3
chr1	2105647	2106147	8
chr1	2107242	2108089	60
chr1	2111693	2112193	64
chr1	2120911	2121411	50
chr1	2129025	2129713	43
chr1	2130515	2131152	63
chr1	2136002	2136502	15
chr1	2136505	2137252	18
chr1	2138497	2138997	12
chr1	2143802	2144302	22
chr1	2159048	2159548	20
chr1	2162529	2163029	16
chr1	2163272	2163772	23
chr1	2164212	2164712	20
chr1	2187114	2187920	55
chr1	2189643	2190572	9
chr1	2203355	2203855	5
chr1	2207243	2207743	3
chr1	2215603	2216103	7
chr1	2222087	2222587	15
chr1	2242854	2243354	8
